Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,66006,1895,3,37.8,Y
IDCJAC0001,66006,1895,4,76.1,Y
IDCJAC0001,66006,1895,5,66.8,Y
IDCJAC0001,66006,1895,6,31.4,Y
IDCJAC0001,66006,1895,7,10.7,Y
IDCJAC0001,66006,1895,8,15.1,Y
IDCJAC0001,66006,1895,9,110.2,Y
IDCJAC0001,66006,1895,10,24.6,Y
IDCJAC0001,66006,1895,11,76.3,Y
IDCJAC0001,66006,1895,12,86.4,Y
IDCJAC0001,66006,1896,1,42.9,Y
IDCJAC0001,66006,1896,2,120.9,Y
IDCJAC0001,66006,1896,3,102.4,Y
IDCJAC0001,66006,1896,4,3.3,Y
IDCJAC0001,66006,1896,5,99.6,Y
IDCJAC0001,66006,1896,6,269,Y
IDCJAC0001,66006,1896,7,51.3,Y
IDCJAC0001,66006,1896,8,39.9,Y
IDCJAC0001,66006,1896,9,7.9,Y
IDCJAC0001,66006,1896,10,50.8,Y
IDCJAC0001,66006,1896,11,136.4,Y
IDCJAC0001,66006,1896,12,43.2,Y
IDCJAC0001,66006,1897,1,32.3,Y
IDCJAC0001,66006,1897,2,8.9,Y
IDCJAC0001,66006,1897,3,98,Y
IDCJAC0001,66006,1897,4,163.8,Y
IDCJAC0001,66006,1897,5,87.6,Y
IDCJAC0001,66006,1897,6,205.7,Y
IDCJAC0001,66006,1897,7,157.2,Y
IDCJAC0001,66006,1897,8,115.8,Y
IDCJAC0001,66006,1897,9,30.7,Y
IDCJAC0001,66006,1897,10,30.7,Y
IDCJAC0001,66006,1897,11,4.1,Y
IDCJAC0001,66006,1897,12,135.4,Y
IDCJAC0001,66006,1898,1,139.7,Y
IDCJAC0001,66006,1898,2,116.3,Y
IDCJAC0001,66006,1898,3,41.4,Y
IDCJAC0001,66006,1898,4,12.4,Y
IDCJAC0001,66006,1898,5,313.4,Y
IDCJAC0001,66006,1898,6,167.9,Y
IDCJAC0001,66006,1898,7,74.7,Y
IDCJAC0001,66006,1898,8,130.8,Y
IDCJAC0001,66006,1898,9,30.5,Y
IDCJAC0001,66006,1898,10,97.5,Y
IDCJAC0001,66006,1898,11,11.9,Y
IDCJAC0001,66006,1898,12,26.4,Y
IDCJAC0001,66006,1899,1,52.8,Y
IDCJAC0001,66006,1899,2,30.7,Y
IDCJAC0001,66006,1899,3,73.7,Y
IDCJAC0001,66006,1899,4,86.1,Y
IDCJAC0001,66006,1899,5,162.1,Y
IDCJAC0001,66006,1899,6,287.5,Y
IDCJAC0001,66006,1899,7,102.6,Y
IDCJAC0001,66006,1899,8,373.9,Y
IDCJAC0001,66006,1899,9,0,Y
IDCJAC0001,66006,1899,10,90.2,Y
IDCJAC0001,66006,1899,11,131.1,Y
IDCJAC0001,66006,1899,12,20.3,Y
IDCJAC0001,66006,1900,1,43.7,Y
IDCJAC0001,66006,1900,2,39.1,Y
IDCJAC0001,66006,1900,3,109.2,Y
IDCJAC0001,66006,1900,4,151.9,Y
IDCJAC0001,66006,1900,5,319,Y
IDCJAC0001,66006,1900,6,282.7,Y
IDCJAC0001,66006,1900,7,326.9,Y
IDCJAC0001,66006,1900,8,12.4,Y
IDCJAC0001,66006,1900,9,64.8,Y
IDCJAC0001,66006,1900,10,2.5,Y
IDCJAC0001,66006,1900,11,187.7,Y
IDCJAC0001,66006,1900,12,44.5,Y
IDCJAC0001,66006,1901,1,161.5,Y
IDCJAC0001,66006,1901,2,37.8,Y
IDCJAC0001,66006,1901,3,83.6,Y
IDCJAC0001,66006,1901,4,356.6,Y
IDCJAC0001,66006,1901,5,46.5,Y
IDCJAC0001,66006,1901,6,23.6,Y
IDCJAC0001,66006,1901,7,101.3,Y
IDCJAC0001,66006,1901,8,109.5,Y
IDCJAC0001,66006,1901,9,73.7,Y
IDCJAC0001,66006,1901,10,45.7,Y
IDCJAC0001,66006,1901,11,17.3,Y
IDCJAC0001,66006,1901,12,8.6,Y
IDCJAC0001,66006,1902,1,58.4,Y
IDCJAC0001,66006,1902,2,7.6,Y
IDCJAC0001,66006,1902,3,52.6,Y
IDCJAC0001,66006,1902,4,64.3,Y
IDCJAC0001,66006,1902,5,34,Y
IDCJAC0001,66006,1902,6,22.9,Y
IDCJAC0001,66006,1902,7,284.5,Y
IDCJAC0001,66006,1902,8,163.6,Y
IDCJAC0001,66006,1902,9,49.8,Y
IDCJAC0001,66006,1902,10,268.7,Y
IDCJAC0001,66006,1902,11,72.6,Y
IDCJAC0001,66006,1902,12,63.5,Y
IDCJAC0001,66006,1903,1,49,Y
IDCJAC0001,66006,1903,2,26.2,Y
IDCJAC0001,66006,1903,3,93.2,Y
IDCJAC0001,66006,1903,4,45.5,Y
IDCJAC0001,66006,1903,5,80.5,Y
IDCJAC0001,66006,1903,6,47.5,Y
IDCJAC0001,66006,1903,7,120.4,Y
IDCJAC0001,66006,1903,8,143,Y
IDCJAC0001,66006,1903,9,126.7,Y
IDCJAC0001,66006,1903,10,94.7,Y
IDCJAC0001,66006,1903,11,61,Y
IDCJAC0001,66006,1903,12,101.6,Y
IDCJAC0001,66006,1904,1,48.8,Y
IDCJAC0001,66006,1904,2,98.6,Y
IDCJAC0001,66006,1904,3,132.3,Y
IDCJAC0001,66006,1904,4,332.5,Y
IDCJAC0001,66006,1904,5,146.3,Y
IDCJAC0001,66006,1904,6,4.6,Y
IDCJAC0001,66006,1904,7,274.8,Y
IDCJAC0001,66006,1904,8,37.3,Y
IDCJAC0001,66006,1904,9,27.4,Y
IDCJAC0001,66006,1904,10,62.7,Y
IDCJAC0001,66006,1904,11,12.4,Y
IDCJAC0001,66006,1904,12,21.3,Y
IDCJAC0001,66006,1905,1,43.2,Y
IDCJAC0001,66006,1905,2,52.3,Y
IDCJAC0001,66006,1905,3,204,Y
IDCJAC0001,66006,1905,4,141.2,Y
IDCJAC0001,66006,1905,5,143.3,Y
